"name","label","region","district","ta","facility_code","level","emonc","ncu","latitude","longitude"
"Mpondasi Health Centre","Mpondasi Health Centre","Southern","Mangochi","TA Mponda","MG2521","2","BEmONC","No","-14.4535122","35.2435831"
"Msaka Dispensary","Msaka Dispensary","Southern","Mangochi","STA Kapichi","MG2599","1","Non-EmONC","No","-14.0793604","34.8521841"
"Mtimabi Health Centre","Mtimabi Health Centre","Southern","Mangochi","TA Chimwala","MG2537","2","BEmONC","No","-14.6110156","35.0824882"
"Mulibwanji Community Hospital","Mulibwanji Community Hospital","Southern","Mangochi","TA Bwananyambi","MG2531","3","CEmONC","No","-14.5114822","35.5884353"
"Namalaka Health Centre","Namalaka Health Centre","Southern","Mangochi","TA Namabvi","MG2522","2","BEmONC","No","-14.123799","35.1937127"
"Namkumba Health Centre","Namkumba Health Centre","Southern","Mangochi","TA Namkumba","MG2527","2","BEmONC","No","-14.3655795","34.8236329"
"Namwera Health Centre","Namwera Health Centre","Southern","Mangochi","TA Jalasi","MG2523","2","BEmONC","No","-14.3635133","35.5024767"
"Nancholi Dispensary","Nancholi Dispensary","Southern","Mangochi","TA Bwananyambi","MG2524","1","Non-EmONC","No","-14.4783293","35.5867861"
"Nangalamu Health Centre","Nangalamu Health Centre","Southern","Mangochi","TA Bwananyambi","MG2525","2","BEmONC","No","-14.4808888","35.6728684"
"Nankhwali Health Centre","Nankhwali Health Centre","Southern","Mangochi","STA Kapichi","MG2526","2","BEmONC","No","-14.1355006","34.8447375"
"Ngapani Health Centre","Ngapani Health Centre","Southern","Mangochi","TA Katuli","MG2540","2","BEmONC","No","-14.0310389","35.337462"
"Njereza Dispensary","Njereza Dispensary","Southern","Mangochi","STA Mambo","MG2574","1","Non-EmONC","No","-14.3392233","35.0315813"
